structure_type,structure_mass_kg,recycling_efficiency,usable_recycled_mass_kg,possible_number
Dwarf galaxy,1.98847e+38,1.0,1.9181458800000003e+51,9646340553289.715
Dwarf galaxy,1.98847e+38,0.5,9.590729400000001e+50,4823170276644.857
Dwarf galaxy,1.98847e+38,0.1,1.9181458800000004e+50,964634055328.9717
Dwarf galaxy,1.98847e+38,0.01,1.9181458800000002e+49,96463405532.89716
Large dwarf galaxy,1.98847e+39,1.0,1.9181458800000003e+51,964634055328.9716
Large dwarf galaxy,1.98847e+39,0.5,9.590729400000001e+50,482317027664.4858
Large dwarf galaxy,1.98847e+39,0.1,1.9181458800000004e+50,96463405532.89717
Large dwarf galaxy,1.98847e+39,0.01,1.9181458800000002e+49,9646340553.289717
Milky Way stellar,1.193082e+41,1.0,1.9181458800000003e+51,16077234255.48286
Milky Way stellar,1.193082e+41,0.5,9.590729400000001e+50,8038617127.74143
Milky Way stellar,1.193082e+41,0.1,1.9181458800000004e+50,1607723425.5482862
Milky Way stellar,1.193082e+41,0.01,1.9181458800000002e+49,160772342.5548286
Milky Way baryonic,1.98847e+41,1.0,1.9181458800000003e+51,9646340553.289717
Milky Way baryonic,1.98847e+41,0.5,9.590729400000001e+50,4823170276.644858
Milky Way baryonic,1.98847e+41,0.1,1.9181458800000004e+50,964634055.3289716
Milky Way baryonic,1.98847e+41,0.01,1.9181458800000002e+49,96463405.53289716
Milky Way halo-like,1.98847e+42,1.0,1.9181458800000003e+51,964634055.3289716
Milky Way halo-like,1.98847e+42,0.5,9.590729400000001e+50,482317027.6644858
Milky Way halo-like,1.98847e+42,0.1,1.9181458800000004e+50,96463405.53289717
Milky Way halo-like,1.98847e+42,0.01,1.9181458800000002e+49,9646340.553289715
Galaxy group,1.98847e+43,1.0,1.9181458800000003e+51,96463405.53289716
Galaxy group,1.98847e+43,0.5,9.590729400000001e+50,48231702.76644858
Galaxy group,1.98847e+43,0.1,1.9181458800000004e+50,9646340.553289717
Galaxy group,1.98847e+43,0.01,1.9181458800000002e+49,964634.0553289716
Galaxy cluster,1.98847e+45,1.0,1.9181458800000003e+51,964634.0553289717
Galaxy cluster,1.98847e+45,0.5,9.590729400000001e+50,482317.02766448585
Galaxy cluster,1.98847e+45,0.1,1.9181458800000004e+50,96463.40553289717
Galaxy cluster,1.98847e+45,0.01,1.9181458800000002e+49,9646.340553289718
