A,a_t,n,age_now_Gyr,future_age_Gyr,q_future,fate
0.1,0.3,4,13.67551228951122,133.62021469468598,-0.999999993905886,stable_acceleration
0.1,0.3,6,13.680189819443614,133.6245805700989,-0.9999999939027959,stable_acceleration
0.1,0.3,9,13.68389063912766,133.62824603930923,-0.9999999939024952,stable_acceleration
0.1,0.3,12,13.685414568245369,133.62976890432736,-0.9999999939024877,stable_acceleration
0.1,0.5,4,13.612606679367701,133.55946788630612,-0.9999999939272985,stable_acceleration
0.1,0.5,6,13.60021698706566,133.5453382347688,-0.999999993909008,stable_acceleration
0.1,0.5,9,13.597721177420185,133.54218393168367,-0.9999999939033173,stable_acceleration
0.1,0.5,12,13.598149935501862,133.54251863472592,-0.9999999939025909,stable_acceleration
0.1,0.7,4,13.599700974577896,133.55191417834652,-0.9999999939833581,stable_acceleration
0.1,0.7,6,13.56459738598585,133.51407862706444,-0.9999999939468053,stable_acceleration
0.1,0.7,9,13.539611914943489,133.48610866889905,-0.9999999939189381,stable_acceleration
0.1,0.7,12,13.530350782579351,133.47550841681723,-0.9999999939083039,stable_acceleration
0.2,0.3,4,13.579364933632494,133.52441507274762,-0.9999999939092856,stable_acceleration
0.2,0.3,6,13.589098832684183,133.5335260258144,-0.9999999939031057,stable_acceleration
0.2,0.3,9,13.596820203167027,133.54117669878752,-0.999999993902503,stable_acceleration
0.2,0.3,12,13.600060100147903,133.54441446757247,-0.9999999939024877,stable_acceleration
0.2,0.5,4,13.458783790042439,133.40813268686045,-0.999999993951908,stable_acceleration
0.2,0.5,6,13.435249321580034,133.38113598564414,-0.9999999939155139,stable_acceleration
0.2,0.5,9,13.431041273357836,133.3756124500359,-0.9999999939041443,stable_acceleration
0.2,0.5,12,13.432278310103094,133.3766614033636,-0.9999999939026948,stable_acceleration
0.2,0.7,4,13.43559133929265,133.39546811298763,-0.9999999940621137,stable_acceleration
0.2,0.7,6,13.367749475770612,133.32228853903953,-0.9999999939904842,stable_acceleration
0.2,0.7,9,13.319367161126094,133.26799575466868,-0.9999999939353027,stable_acceleration
0.2,0.7,12,13.301516526221816,133.24747609376698,-0.9999999939141089,stable_acceleration
0.3,0.3,4,13.489038247282519,133.4344357544218,-0.9999999939126811,stable_acceleration
0.3,0.3,6,13.504110863777722,133.44857449594238,-0.9999999939034135,stable_acceleration
0.3,0.3,9,13.51609431293169,133.46045190398831,-0.9999999939025115,stable_acceleration
0.3,0.3,12,13.521197484680856,133.46555188344797,-0.999999993902487,stable_acceleration
0.3,0.5,4,13.315348831361517,133.26716642600127,-0.9999999939763186,stable_acceleration
0.3,0.5,6,13.281704456143963,133.228355014528,-0.999999993922007,stable_acceleration
0.3,0.5,9,13.27642171975097,133.22110129174544,-0.9999999939049748,stable_acceleration
0.3,0.5,12,13.278773013427426,133.22317050027684,-0.9999999939027983,stable_acceleration
0.3,0.7,4,13.284095078195048,133.25144729224317,-0.999999994138835,stable_acceleration
0.3,0.7,6,13.185575796827822,133.14510495873554,-0.9999999940335329,stable_acceleration
0.3,0.7,9,13.11518014585967,133.06593004819376,-0.9999999939515776,stable_acceleration
0.3,0.7,12,13.089321871166419,133.03608197947833,-0.9999999939199056,stable_acceleration
0.4,0.3,4,13.4038679432945,133.34961245312047,-0.9999999939160691,stable_acceleration
0.4,0.3,6,13.424487443746045,133.36898751150514,-0.9999999939037223,stable_acceleration
0.4,0.3,9,13.4409143958168,133.38527308230692,-0.99999999390252,stable_acceleration
0.4,0.3,12,13.447993709448028,133.39234813955778,-0.9999999939024871,stable_acceleration
0.4,0.5,4,13.181089584999489,133.13535710230767,-0.9999999940005355,stable_acceleration
0.4,0.5,6,13.138203355857836,133.0856162910652,-0.9999999939284856,stable_acceleration
0.4,0.5,9,13.132368049359638,133.07715598958094,-0.9999999939058025,stable_acceleration
0.4,0.5,12,13.136081460960902,133.08049334095082,-0.9999999939029037,stable_acceleration
0.4,0.7,4,13.143678157735184,133.11832453225506,-0.9999999942135975,stable_acceleration
0.4,0.7,6,13.016293254984944,132.98074614545672,-0.9999999940759753,stable_acceleration
0.4,0.7,9,12.925099095338622,132.87795985372193,-0.9999999939677671,stable_acceleration
0.4,0.7,12,12.891740844731572,132.8393001049051,-0.9999999939256864,stable_acceleration
0.5,0.3,4,13.323297189386112,133.26938833713675,-0.9999999939194563,stable_acceleration
0.5,0.3,6,13.349614139799819,133.29415063971433,-0.9999999939040328,stable_acceleration
0.5,0.3,9,13.370619342719408,133.31497912463996,-0.9999999939025288,stable_acceleration
0.5,0.3,12,13.37976086220548,133.32411532365776,-0.9999999939024874,stable_acceleration
0.5,0.5,4,13.054991324215017,133.01169020264496,-0.9999999940245556,stable_acceleration
0.5,0.5,6,13.00359725373364,132.9517710527948,-0.9999999939349511,stable_acceleration
0.5,0.5,9,12.997639239393388,132.9425355207639,-0.9999999939066301,stable_acceleration
0.5,0.5,12,13.002916226026834,132.9473424987095,-0.9999999939030078,stable_acceleration
0.5,0.7,4,13.013059967460412,132.994825743432,-0.9999999942864745,stable_acceleration
0.5,0.7,6,12.85841506864967,132.8277266351994,-0.9999999941178157,stable_acceleration
0.5,0.7,9,12.747497047879865,132.7024582868507,-0.9999999939838707,stable_acceleration
0.5,0.7,12,12.707084589265197,132.65544161602094,-0.9999999939314593,stable_acceleration
